1,25
2,25
3,25
4,25
5,25
6,25
7,25
8,25
9,25
10,25
11,25
12,25
13,25
14,25
15,25
16,30
17,36
18,37
19,40
20,40
21,40
22,40
23,40
24,40
25,40
26,40
27,40
28,40
29,40
30,40
31,40
32,40
33,40
34,40
35,40
36,40
37,40
38,40
39,40
40,40
41,110
42,110
43,110
44,110
45,110
46,120
47,120
48,120
49,120
50,120
51,128
52,128
53,128
54,128
55,128
56,136
57,136
58,136
59,136
60,136
61,170
62,170
63,170
64,170
65,175
66,175
67,175
68,175
69,173
70,173
71,173
72,173
73,178
74,178
75,178
76,178
77,175
78,175
79,175
80,175
81,175
82,175
83,175
84,175
85,175
86,175
87,175
88,175
89,175
90,175
91,175
92,175
93,175
94,175
95,175
96,175
97,175
98,175
99,175
100,175
101,175
102,175
103,175
104,175
105,175
106,175
107,175
108,175
109,175
110,175
111,175
112,175
113,175
114,175
115,175
116,175
117,175
118,175
119,175
120,175
121,175
122,175
123,175
124,175
125,175
126,175
127,175
128,175
129,175
130,175
131,175
132,175
133,175
134,175
135,175
136,175
137,175
138,175
139,175
140,175
141,175
142,175
143,175
144,175
145,175
146,175
147,175
148,175
149,175
150,173
151,175
152,170
153,168
154,166
155,162
156,160
157,152
158,144
159,136
160,120
161,110
162,100
163,90
164,80
165,55
166,55
167,55
168,55
169,55
170,55
171,55
172,55
173,55
174,55
175,55
176,55
177,55
178,55
179,55
180,55
